,entity_lang,entity_txt,entity_ids,sitelinks
0,zh,...,['Q32518'],[69]
1,zh,.38 special,['Q24634'],[22]
2,zh,.38 特種彈,['Q24634'],[22]
3,zh,007,['Q844'],[100]
4,zh,1061年,['Q19387'],[133]
5,zh,10月11日,['Q2927'],[209]
6,zh,10月28日,['Q2952'],[212]
7,zh,10月5日,['Q2930'],[213]
8,zh,10月6日,['Q2928'],[209]
9,zh,113号元素,['Q1301'],[124]
10,zh,11月,['Q125'],[279]
11,zh,11月13日,['Q2984'],[213]
12,zh,11月16日,['Q3029'],[211]
13,zh,11月1日,['Q2997'],[214]
14,zh,11月20日,['Q3024'],[212]
15,zh,11月22日,['Q3025'],[212]
16,zh,11月29日,['Q3016'],[212]
17,zh,12月22日,['Q2636'],[207]
18,zh,12月27日,['Q2800'],[206]
19,zh,12月30日,['Q2901'],[206]
20,zh,12月8日,['Q2301'],[208]
21,zh,18,['Q38712'],[110]
22,zh,1812年战争,['Q26013'],[75]
23,zh,1812年戰爭,['Q26013'],[75]
24,zh,1900年代,['Q36574'],[102]
25,zh,1910年代,['Q36585'],[109]
26,zh,1926年,['Q5259'],[201]
27,zh,1936-1939年巴勒斯坦阿拉伯人起事,['Q46057'],[29]
28,zh,1936年–1939年巴勒斯坦阿拉伯起义,['Q46057'],[29]
29,zh,1936年到1939年巴勒斯坦的阿拉伯起義,['Q46057'],[29]
30,zh,1936年到1939年的大起义,['Q46057'],[29]
31,zh,1940年冬季奥林匹克运动会,['Q9607'],[46]
32,zh,1940年冬季奧運會,['Q9607'],[46]
33,zh,1940年奧運會,['Q9607'],[46]
34,zh,1944年冬季奥林匹克运动会,['Q9613'],[45]
35,zh,1944年冬季奧運會,['Q9613'],[45]
36,zh,1944年奧運會,['Q9613'],[45]
37,zh,1956 科爾蒂納丹佩佐,['Q9632'],[71]
38,zh,1956年,['Q5221'],[205]
39,zh,1956年冬奧亞軍,['Q9632'],[71]
40,zh,1956年冬季奥林匹克运动会,['Q9632'],[71]
41,zh,1956年冬季奧運會,['Q9632'],[71]
42,zh,1956年奧運會,['Q9632'],[71]
43,zh,1960 斯闊谷,['Q9634'],[68]
44,zh,1960年冬季奥林匹克运动会,['Q9634'],[68]
45,zh,1960年冬季奧運會,['Q9634'],[68]
46,zh,1960年奧運會,['Q9634'],[68]
